TaxRate,Income,Roads,Drivers,Fuel
9.0,3.571,1.976,52.5,541
9.0,4.092,1.250,57.2,524
9.0,3.865,1.586,58.0,561
7.5,4.870,2.351,52.9,414
8.0,4.399,0.431,54.4,410
10.0,5.342,1.333,57.1,457
8.0,5.319,11.868,45.1,344
8.0,5.126,2.138,55.3,467
8.0,4.447,8.577,52.9,464
7.0,4.512,8.507,55.2,498
8.0,4.391,5.939,53.0,580
7.5,5.126,14.186,52.5,471
7.0,4.817,6.930,57.4,525
7.0,4.207,6.580,54.5,508
7.0,4.332,8.159,60.8,566
7.0,4.318,10.340,58.6,635
7.0,4.206,8.508,57.2,603
7.0,3.718,4.725,54.0,714
7.0,4.716,5.915,72.4,865
8.5,4.341,6.010,67.7,640
7.0,4.593,7.834,66.3,649
8.0,4.983,0.602,60.2,540
9.0,4.897,2.449,51.1,464
9.0,4.258,4.686,51.7,547
8.5,4.574,2.619,55.1,460
9.0,3.721,4.746,54.4,566
8.0,3.448,5.399,54.8,577
7.5,3.846,9.061,57.9,631
8.0,4.188,5.975,56.3,574
9.0,3.601,4.650,49.3,534
7.0,3.640,6.905,51.8,571
7.0,3.333,6.594,51.3,554
8.0,3.063,6.254,57.8,577
7.5,3.357,4.121,54.7,628
8.0,3.528,3.495,48.7,487
6.6,3.802,7.834,62.9,644
5.0,4.045,17.782,56.6,640
7.0,3.897,6.385,58.6,704
8.5,3.635,3.274,66.3,648
7.0,4.345,3.905,67.2,968
7.0,4.449,4.639,62.6,587
7.0,3.656,3.985,56.3,699
7.0,4.300,3.635,60.3,632
7.0,3.745,2.611,50.8,591
6.0,5.215,2.302,67.2,782
9.0,4.476,3.942,57.1,510
7.0,4.296,4.083,62.3,610
7.0,5.002,9.794,59.3,524
