cnt,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed
16,01/01/2011,1,0,1,0,0,6,1,0.24,0.2879,0.81,0
40,01/01/2011,1,0,1,1,0,6,1,0.22,0.2727,0.8,0
32,01/01/2011,1,0,1,2,0,6,1,0.22,0.2727,0.8,0
13,01/01/2011,1,0,1,3,0,6,1,0.24,0.2879,0.75,0
1,01/01/2011,1,0,1,4,0,6,1,0.24,0.2879,0.75,0
1,01/01/2011,1,0,1,5,0,6,2,0.24,0.2576,0.75,0.0896
2,01/01/2011,1,0,1,6,0,6,1,0.22,0.2727,0.8,0
3,01/01/2011,1,0,1,7,0,6,1,0.2,0.2576,0.86,0
8,01/01/2011,1,0,1,8,0,6,1,0.24,0.2879,0.75,0
14,01/01/2011,1,0,1,9,0,6,1,0.32,0.3485,0.76,0
36,01/01/2011,1,0,1,10,0,6,1,0.38,0.3939,0.76,0.2537
56,01/01/2011,1,0,1,11,0,6,1,0.36,0.3333,0.81,0.2836
84,01/01/2011,1,0,1,12,0,6,1,0.42,0.4242,0.77,0.2836
94,01/01/2011,1,0,1,13,0,6,2,0.46,0.4545,0.72,0.2985
106,01/01/2011,1,0,1,14,0,6,2,0.46,0.4545,0.72,0.2836
110,01/01/2011,1,0,1,15,0,6,2,0.44,0.4394,0.77,0.2985
93,01/01/2011,1,0,1,16,0,6,2,0.42,0.4242,0.82,0.2985
67,01/01/2011,1,0,1,17,0,6,2,0.44,0.4394,0.82,0.2836
35,01/01/2011,1,0,1,18,0,6,3,0.42,0.4242,0.88,0.2537
37,01/01/2011,1,0,1,19,0,6,3,0.42,0.4242,0.88,0.2537
36,01/01/2011,1,0,1,20,0,6,2,0.4,0.4091,0.87,0.2537
34,01/01/2011,1,0,1,21,0,6,2,0.4,0.4091,0.87,0.194
28,01/01/2011,1,0,1,22,0,6,2,0.4,0.4091,0.94,0.2239
39,01/01/2011,1,0,1,23,0,6,2,0.46,0.4545,0.88,0.2985
17,02/01/2011,1,0,1,0,0,0,2,0.46,0.4545,0.88,0.2985
17,02/01/2011,1,0,1,1,0,0,2,0.44,0.4394,0.94,0.2537
9,02/01/2011,1,0,1,2,0,0,2,0.42,0.4242,1,0.2836
6,02/01/2011,1,0,1,3,0,0,2,0.46,0.4545,0.94,0.194
3,02/01/2011,1,0,1,4,0,0,2,0.46,0.4545,0.94,0.194
2,02/01/2011,1,0,1,6,0,0,3,0.42,0.4242,0.77,0.2985
1,02/01/2011,1,0,1,7,0,0,2,0.4,0.4091,0.76,0.194
8,02/01/2011,1,0,1,8,0,0,3,0.4,0.4091,0.71,0.2239
20,02/01/2011,1,0,1,9,0,0,2,0.38,0.3939,0.76,0.2239
53,02/01/2011,1,0,1,10,0,0,2,0.36,0.3485,0.81,0.2239
70,02/01/2011,1,0,1,11,0,0,2,0.36,0.3333,0.71,0.2537
93,02/01/2011,1,0,1,12,0,0,2,0.36,0.3333,0.66,0.2985
75,02/01/2011,1,0,1,13,0,0,2,0.36,0.3485,0.66,0.1343
