"age","smoke","pop","dead"
" 40-44"," cigarPipeOnly",145,2
" 60-64"," cigarPipeOnly",846,113
" 45-59"," cigarrettePlus",3030,169
" 50-54"," cigarretteOnly",1851,187
"  70-74","            no",668,179
" 40-44"," cigarretteOnly",3410,124
" 45-59"," cigarretteOnly",2239,140
" 70-74"," cigarretteOnly",1195,432
"   80+"," cigarPipeOnly",537,253
"  45-59","            no",359,22
"  65-69","            no",897,170
"  60-64","            no",1067,117
" 75-79"," cigarPipeOnly",667,243
"    80+","            no",274,120
" 65-69"," cigarrettePlus",3880,901
" 45-59"," cigarPipeOnly",104,4
" 65-69"," cigarPipeOnly",949,173
" 40-44"," cigarrettePlus",4531,149
" 60-64"," cigarretteOnly",3791,778
" 75-79"," cigarretteOnly",436,214
" 65-69"," cigarretteOnly",2421,689
"  55-59","            no",632,55
"   80+"," cigarretteOnly",113,63
"   80+"," cigarrettePlus",345,189
" 70-74"," cigarPipeOnly",824,212
" 70-74"," cigarrettePlus",2033,613
"  40-44","            no",656,18
" 50-54"," cigarPipeOnly",98,3
" 55-59"," cigarretteOnly",3270,514
"  50-54","            no",249,19
"  75-79","            no",361,120
" 75-79"," cigarrettePlus",871,337
" 55-59"," cigarPipeOnly",372,38
" 55-59"," cigarrettePlus",4682,576
" 60-64"," cigarrettePlus",6052,1001
" 50-54"," cigarrettePlus",2267,193
